country,total_data_centers,hyperscale_data_centers,colocation_data_centers,floor_space_sqft_total,power_capacity_MW_total,average_renewable_energy_usage_percent,tier_distribution,key_operators,cloud_provider,internet_penetration_percent,growth_rate_of_data_centers_percent_per_year,cooling_technologies_common
United States,5426,300,2000,3552000000.0,12000.0,27.0,"I:5%, II:15%, III:60%, IV:20%","Equinix, Digital Realty, CoreSite, AWS","AWS:Yes, GCP:Yes, Azure:Yes, Oracle:Yes",92.0,12.0,"Air, Liquid, Immersion"
Germany,529,50,200,350000000.0,2000.0,40.0,"II:10%, III:70%, IV:20%","Equinix, Digital Realty, e-shelter","AWS:Yes, GCP:Yes, Azure:Yes, Oracle:Yes",92.0,8.0,"Air, Indirect Evap."
United Kingdom,523,30,150,200000000.0,1000.0,0.45000000000000284,"II:15%, III:70%, IV:15%","Equinix, Telehouse, Virtus","AWS:Yes, GCP:Yes, Azure:Yes, Oracle:Yes",96.0,7.0,"Air, Free Cooling"
China,449,100,1000,500000000.0,8000.0,0.25,"II:20%, III:60%, IV:20%","China Unicom, Tencent, Alibaba, GDS","AWS:Yes, GCP:No, Azure:Yes, Oracle:Yes",76.0,15.0,"Air, Liquid"
France,322,20,110,120000000.0,700.0,40.0,"II:20%, III:70%, IV:10%","Equinix, Interxion, Data4","AWS:Yes, GCP:Yes, Azure:Yes, Oracle:Yes",91.0,6.0,"Air, Liquid"
Canada,336,15,100,90000000.0,500.0,0.779999999999994,"II:20%, III:70%, IV:10%","Equinix, Cologix, eStruxture","AWS:Yes, GCP:Yes, Azure:Yes, Oracle:Yes",96.0,9.0,"Air, Liquid, Free Cooling"
Australia,314,20,80,40000000.0,1200.0,0.29999999999999716,"II:20%, III:70%, IV:10%","NEXTDC, Equinix, AirTrunk","AWS:Yes, GCP:Yes, Azure:Yes, Oracle:Yes",96.0,10.0,"Air, Liquid, Free Cooling"
Netherlands,298,15,90,35000000.0,700.0,0.8999999999999915,"II:10%, III:80%, IV:10%","Equinix, Interxion, NorthC","AWS:Yes, GCP:Yes, Azure:Yes, Oracle:Yes",96.0,8.0,"Air, Liquid, Free Cooling"
Russia,251,10,60,20000000.0,400.0,0.14999999999999858,"II:30%, III:60%, IV:10%","IXcellerate, DataPro, Rostelecom","AWS:No, GCP:No, Azure:No, Oracle:No",85.0,6.0,"Air, Liquid"
Japan,222,20,80,50000000.0,1000.0,0.25,"II:20%, III:70%, IV:10%","Equinix, NTT, KDDI, Colt","AWS:Yes, GCP:Yes, Azure:Yes, Oracle:Yes",94.0,7.0,"Air, Liquid, Immersion"
Brazil,196,10,100,20000000.0,800.0,0.25,"II:30%, III:60%, IV:10%","Ascenty, ODATA, Equinix","AWS:Yes, GCP:Yes, Azure:Yes, Oracle:Yes",82.0,12.0,"Air, Liquid"
Singapore,99,15,60,30000000.0,500.0,0.9500000000000028,"III:80%, IV:20%","Equinix, Digital Realty, STT GDC","AWS:Yes, GCP:Yes, Azure:Yes, Oracle:Yes",92.0,6.0,"Liquid, Air, Immersion"
South Africa,61,5,30,10000000.0,200.0,0.29999999999999716,"II:40%, III:50%, IV:10%","Teraco, Africa Data Centres, NTT","AWS:Yes, GCP:Yes, Azure:Yes, Oracle:No",72.0,10.0,"Air, Liquid"
India,99,10,50,50000000.0,400.0,0.14999999999999858,"II:30%, III:60%, IV:10%","STT GDC, NTT, CtrlS, AWS","AWS:Yes, GCP:Yes, Azure:Yes, Oracle:Yes",56.0,18.0,"Air, Liquid"
Mexico,173,8,32,14000000.0,300.0,45.0,"II:30%, III:60%, IV:10%","KIO Networks, Equinix, Alestra","AWS:Yes, GCP:No, Azure:Yes, Oracle:No",72.0,14.0,"Air, Liquid"
Sweden,95,6,40,12000000.0,250.0,0.9799999999999969,"II:10%, III:80%, IV:10%","DigiPlex, Equinix, Bahnhof","AWS:Yes, GCP:Yes, Azure:Yes, Oracle:No",96.0,8.0,"Air, Liquid, Free Cooling"
Indonesia,84,3,30,8000000.0,150.0,0.20000000000000284,"II:30%, III:60%, IV:10%","DCI Indonesia, Telkomsigma, NTT","AWS:Yes, GCP:Yes, Azure:No, Oracle:No",69.0,15.0,"Air, Liquid"
Spain,143,5,50,10000000.0,200.0,0.3500000000000014,"II:20%, III:70%, IV:10%","Interxion, Equinix, Nabiax","AWS:Yes, GCP:Yes, Azure:Yes, Oracle:No",93.0,7.0,"Air, Liquid, Free Cooling"
Poland,144,4,40,8000000.0,120.0,0.25,"II:30%, III:60%, IV:10%","Atman, Equinix, Beyond.pl","AWS:No, GCP:No, Azure:Yes, Oracle:No",87.0,9.0,"Air, Liquid"
Switzerland,121,5,30,7000000.0,110.0,0.7999999999999972,"II:15%, III:75%, IV:10%","Green Datacenter, Equinix, Interxion","AWS:Yes, GCP:Yes, Azure:Yes, Oracle:No",97.0,7.0,"Air, Liquid, Free Cooling"
Afghanistan,2,0,2,10000.0,1270.0,50.0,likely Tier I–II,Afghanistan National Data Center; Alef Tech; Asia Consultancy Group; Pamir Alpha,,18.0,124.75999999999999,
Albania ,3,0,3,71100.0,2730.0,100.0,Mix of Tier I–II likely,Albanian Telecommunications Union; Tirana DataCom; Pronet,,86.0,6.0,
Algeria,5,0,5,18300.0,150.0,60.0,Mix of Tier II–III (est.),Algeria Telecom; ICOSNET; Government Data Centers,,24.0,8.0,
Andorra,1,0,1,1830.0,20.0,37.96,Tier I–II single colocation,Data Center @ La Massana (Andorra Telecom),,95.5,7.0,
Angola,4,0,4,108300.0,90.0,47.519999999999996,Mix of Tier III–IV by design,Raxio Angola; Paratus Africa; MSTelcom; Angola Cables,,61.9,15.0,
Antigua and Barbuda,1,0,1,5000.0,10.0,67.82,Tier 4 (planned; current is Tier I–II basement),Government (Parliament basement),,78.0,371.3,
Argentina,34,0,34,721000.0,100.0,54.36,Mix of Tier II–III (majority),"Arsat, EdgeConneX, Telecom Argentina, G2K, Claro, Cirion, Raxio?",,87.4,10.0,
Armenia,6,0,6,26748.0,60.0,35.34,Mix of Tier II–III,AIC (Arminco); ADC (Armenian Datacom); GNC‑Alfa/Ovio; VSData Aragatsotn (coming 2025); Rostelecom‑backed AI & AI‑DC Firebird plans,,75.9,12.0,
Austria,68,0,68,720000.0,450.0,0.4760000000000062,"Mix of Tier III (major providers), Tier II (regional)","NTT Global, Digital Realty, A1 (Exoscale), Interxion, Raiffeisen, Nessus, IBM, Tele2, Atos BRZ",,91.2,5.0,
Azerbaijan,3,0,3,18534.0,60.0,43.44, Tier III (major facilities),"PASHA; AzInTelecom (Baku, Yevlakh); AzerTelecom",,79.8,7.0,
Bahamas,3,0,3,40000.0,20.0,57.0,Mix of Tier III secure colocation,Secure Shore; Cable Bahamas (Nassau & Freeport); Secure Hosting Freeport,,95.0,210.99999999999994,
Bahrain,5,0,5,129000.0,110.0,18.12,"Mix of Tier III (Batelco Manama, Hamala, Ras Abu Jarjur, Gateway Gulf Manama); upcoming colocation","Telecom & Qareeb, Batelco, Gateway Gulf, STC, Zain",,98.0,10.700000000000045,
Bangladesh,20,0,16,300000.0,180.0,35.34,Mix of Tier III (major) & Tier II colocation,"BCC/BDCCL, Plexus Cloud, DataVolt (planned), Aamra, ANOS, Zipnet, Kloud, DataHub Asia",,75.0,30.0,
Barbados,3,0,3,40000.0,30.0,63.18,Mix of Tier III secure colocation,Secure Shore; Cable Bahamas (Nassau & Freeport); Secure Hosting Freeport,,80.0,655.4,
Belarus,6,0,6,882641.0,200.0,37.96,Mix of Tier III (major telco/cloud providers),"A1 Telekom, BeCloud, Velcom (America Movil), MTS, Datahata, Beltelecom",,91.0,8.0,
Belgium,32,0,32,1245085.0,300.0,0.35600000000000875,Mix of Tier III (major providers) & Tier II regional,"Google, Digital Realty/Interxion, EdgeConneX, LCL, Colt, NTT",,96.0,4.0,
Belize,1,0,1,5000.0,15.0,50.0,Tier II–III (modular/government),CIT Office (Govt); Belize National Call Center (private),,50.0,550.8,
Benin,4,0,4,12000.0,8.0,40.0,Mix of Tier II–III (likely modular and telco-run),Alink Telecom; MTN; Isocel Telecom; local modular providers,,32.0,241.59999999999997,
Bhutan,3,0,3,2500.0,20.0,79.74000000000001,Tier II–III mixed (govt & crypto mining),Bhutan Innovation Tech Centre GDC; Bhutan DCS (Thimphu TechPark); Bitdeer crypto‑mine Gedu,,88.4,498.0,
Bolivia,3,0,3,137800.0,90.0,35.34,Mix of Tier III (major telcos),"Entel Bolivia (El Alto), Tigo Business (Santa Cruz), Confiared DC3 (Santa Cruz)",,75.0,10.0,
Bosnia and Herzegovina,2,0,2,11711.0,10.0,81.78,Tier II (academic & SMB colocation),University of Sarajevo UCENT and Logosoft Data Center,,87.0,499.20000000000005,
Botswana,5,0,5,35200.0,15.0,22.900000000000002,"Mix of Tier II–III (BTC Sentlhaga, Digital Delta, Orange, BoFiNet)",BTC Business; BoFiNet Digital Delta; Orange Business; MTN Gaborone?; Centerserv?,,82.0,10.0,
Brunei,1,0,1,51000.0,15.0,18.12,Tier III/IV modular (govt UNN),Unified National Networks (UNN),,97.0,15.0,
Bulgaria,27,0,27,1245085.0,15.0,37.96,Mix of Tier III & II,"Equinix, Telepoint, Neterra, Daticum, Evolink, S3 Company, ITD Network",,88.0,4.0,
Burkina Faso,3,0,3,281991.0,15.0,14.98,Mix of Tier III (major) & Tier III modular,"Virtix (Ouaga), BFIX Immeuble du Faso, BFIX Ministere de l’agriculture",,34.0,10.0,
Burundi,2,0,2,6308.0,15.0,23.879999999999995,Tier II (basic government & telco),Lacell SU (Smart Burundi); Burundi Backbone System SM,,10.0,361.15999999999997,
Cambodia,5,0,5,206000.0,15.0,18.12,Mix of Tier III (main facilities),Chaktomuk Data Center; ByteDC; Kepstar; Sinet; Daun Penh,,98.0,12.0,
Cameroon,2,0,2,14234.0,15.0,19.000000000000004,Mix of Tier III (telco‑led),Orange Cameroon (Douala); Camtel Zamengoe (Yaoundé),,40.0,8.0,
Cape Verde,1,0,1,30000.0,15.0,57.86,Tier II–III modular gov/private NOG/tech park,NOSi national DC at Tech Park,,72.0,347.40000000000003,
Central African Republic,0,0,0,30000.0,15.0,27.7,None known,Government/UN digital health servers only,,47.04,588.0,
Chad,2,0,2,20000.0,15.0,17.56,Tier III modular (telco/govt),Tigo/Flexenclosure; National DC (Huawei/Govt),,13.0,5.7999999999999545,
Chile,31,0,31,720630.0,15.0,37.96,Mix of Tier III (major hyperscale & colocation),"Ascenty (2 sites), Equinix (4), Cirion, ClaroVTR, EdgeConneX, Google Cloud region, AWS upcoming",Yes (Google & AWS in Santiago),92.0,7.0,
Colombia,31,0,31,720630.0,15.0,37.96,Mix of Tier III (major hyperscale & colocation),"Ascenty (2 sites), Equinix (4), Cirion, ClaroVTR, EdgeConneX, Google Cloud region, AWS upcoming",Yes (Google & AWS in Santiago),92.0,7.0,
Comoros,1,0,1,30000.0,15.0,19.139999999999997,Public admin data center (new),ANRTIC/government,,27.0,269.99999999999994,
"Congo, Democratic Republic of the",2,0,2,27878.0,15.0,22.540000000000003,Mix of Tier III (carrier-neutral telco & pan-African),Raxio DRC1; OADC Texaf DRC (Kinshasa),,25.0,10.0,
"Congo, Republic of the",2,0,2,3710.0,15.0,25.74,State‑run Tier III & II,"Government ARPCE (Brazzaville 2021), Pointe‑Noire ARPCE (2Africa‑connected)",,30.0,8.0,
Costa Rica,10,0,10,292761.0,15.0,37.96,Mix of Tier III colocation & carrier-neutral,Data Center Costa Rica; Ufinet Escazú; IFX Alajuela; Arena (Bassett AI); RackNation; Servers Lodge; Critical Colocation; Costa Rica Servers; RackNation Curridabat; RackNation San Pedro,,95.0,10.0,
Côte d’Ivoire,5,0,5,146763.0,15.0,16.979999999999997,Mix of Tier III (carrier-neutral hyperscale & telco),"ST Digital VITIB, Raxio CIV1, Equinix/MainOne, Orange GOS, MTN modular colocation",,38.0,12.0,
Croatia,18,0,18,101756.0,15.0,37.96,Mix of Tier III & II,A1 Croatia; PCK‑DataCross; DC North; Croatian Web Hosting; SRCE Zagreb; Hrvatski Telekom,,90.0,5.0,
Cuba,1,0,1,30000.0,15.0,68.82,Public admin & carrier DC (ETECSA/Havana),ETECSA (state telecom),,68.0,684.0,
Cyprus,2,0,2,13000.0,15.0,37.96,Mix of Tier III (carrier-neutral & hyperscale-grade),Simplex LIM1 (Limassol); Cyta LCA1 (Larnaca),,95.0,8.0,
Czechia,36,0,36,355000.0,15.0,38.156,Mix of Tier III & II,"České Radiokomunikace (8 sites), Seznam.cz (Nagoya, Kokura), T‑Mobile DC7, TTC Teleport (2+), CE Colo (4), Aruba CZ1, others",,92.0,6.0,
Denmark,42,0,42,1100000.0,15.0,0.35600000000000165,Mix of Tier III & IV (hyperscalers + carriers),Apple (Foulum); Meta Odense (2 sites); Google Fredericia; atNorth DEN01; Interxion/Digital Realty; GlobalConnect; JN Data,"Yes (Apple NVDC, Meta, Google)",99.0,9.5,
Djibouti,1,0,1,30000.0,15.0,35.4,Tier III carrier-neutral,Djibouti Data Center (DDC) by Djibouti Telecom & investors; DjIX colocation,,65.0,10.0,
Dominica,1,0,1,30000.0,15.0,46.0,Government primary & backup data centers (planned),Government (Digicel partnership),,83.0,339.7,
Dominican Republic,1,0,1,2404.0,15.0,51.02,Tier IV colocation (KIO Networks SDO1),KIO Networks (SDO1 Santo Domingo),Yes (KIO SDO1 is Tier IV‑designed),74.0,7.0,
Ecuador,7,0,4,32500.0,5.0,32.5,Mostly Tier II and III,"CNT, GCI, local ISPs","No local hyperscale; regional AWS, Azure ~70%",84.0,400.0,"Air cooling, some energy-efficient"
Egypt,7,0,4,30000.0,5.0,32.5,Mostly Tier II and III,"CNT, GCI, local ISPs","No local hyperscale; regional AWS, Azure",82.0,8.5,"Air cooling, some energy-efficient"
El Salvador,3,0,3,22500.0,3.0,25.0,Majority Tier II,"Claro El Salvador, local ISPs","No local hyperscale; access to regional AWS, Azure",77.0,6.5,Air cooling
Equatorial Guinea,1,0,1,7500.0,1.0,12.0,Mostly Tier II,"Local ISPs, small colocation",No hyperscale presence,45.0,300.0,Air cooling
Eritrea,1,0,1,6000.0,1.0,10.0,Mostly Tier II,"Local ISPs, small colocation",No hyperscale presence,40.0,200.0,Air cooling
Estonia,12,1,7,65000.0,20.0,45.0,Mostly Tier III and Tier IV,"Elisa, Telia, Balticom","AWS presence nearby, local cloud providers",88.0,800.0,Air and liquid cooling
Eswatini,2,0,1,8000.0,1.0,10.0,Mostly Tier II,"Local ISPs, small colocation",No hyperscale presence,32.0,300.0,Air cooling
Ethiopia,2,0,2,12000.0,3.0,15.0,Mostly Tier II,"Local ISPs, Ethio Telecom",No hyperscale presence,25.0,400.0,Air cooling
Fiji,2,0,1,7000.0,1.0,20.0,Mostly Tier II,"Local ISPs, Telecom Fiji",No hyperscale presence,55.0,300.0,Air cooling
Finland,25,4,15,120000.0,90.0,60.0,Mostly Tier III and Tier IV,"Ficolo, Equinix, Telia, DNA","AWS, Azure, Google presence",94.0,1200.0,Air and liquid cooling
Gabon,3,0,2,10000.0,3.0,15.0,Mostly Tier II,"Local ISPs, Gabon Telecom",No hyperscale presence,40.0,400.0,Air cooling
Gambia,2,0,1,7000.0,1.0,12.0,Mostly Tier II,"Local ISPs, Gambia Telecommunications",No hyperscale presence,35.0,300.0,Air cooling
Georgia,8,0,7,695000.0,20.0,82.0,Local Tier III colocation (7); no hyperscale,"Local providers: CLOUD9, REDBRIDGEx, WORLDBUS, LABTech, cloudx.ge, CloudBoom, DAC Services",None local hyperscale,82.0,12.5,"Air-economizer, precision AC, evaporative cooling"
Ghana,7,0,6,40000.0,15.0,70.0,"Tier II–IV (1 Tier IV, 1 Tier III, others Tier II)","MDXi (Equinix), Onix, PAIX, NITA",No hyperscale presence,70.0,1000.0,"Air cooling, precision AC, diesel backup"
Greece,15,1,15,250000.0,57.0,82.0,"Tier III (majority), some Tier IV","CloudRock, Digital Realty (Lamda Hellix), Friktoria, Hostmein IKE, Sparkle, Lancom, Synapsecom",Microsoft/AWS/Google (hyper‑region present),82.0,1400.0,"Air cooling, precision AC, economizers"
Grenada,0,0,0,0.0,0.0,74.0,Tier I (in‑house/small ISP),"Digicel, Flow, CCGL",No hyperscale presence,74.0,500.0,"Air cooling, small precision AC"
Guatemala,5,0,5,40000.0,5.0,70.0,Tier II–III (few Tier III),"KIO (KIO Guatemala 1), Navegalo, Cloud2Nube, Tigo DC, IPXON",No hyperscale presence,70.0,600.0,"Air cooling, precision AC, generators"
Guinea,1,0,1,10000.0,1.0,33.9,Tier III (GuiLab),GUILAB S.A.,No hyperscale presence,33.0,800.0,"Air cooling, precision AC, generators"
Guinea-Bissau,0,0,0,0.0,0.0,32.5,Tier I (ISP premises),"MTN, Orange, Guinetel",No hyperscale presence,32.0,300.0,"Air cooling, small precision AC"
Guyana,0,0,0,0.0,0.0,37.0,Tier I–II (ISP premises),"GTT, Digicel, ENet",No hyperscale presence,37.0,1500.0,"Air cooling, small precision AC, satellite backup"
Haiti,0,0,0,0.0,0.0,39.0,Tier I–II (ISP/rack colocation at premises),"Teleco, Natcom, Access Haiti, Hainet, Starlink",No hyperscale presence,39.0,800.0,"Air cooling, small precision AC, satellite backup"
Honduras,4,0,4,10000.0,2.0,66.0,Tier II–III,"Navégalo, Tigo DC Evolution, IFX Networks",No hyperscale presence,66.0,800.0,"Air cooling, precision AC, generators"
Hungary,19,0,19,150000.0,80.0,25.0,"Tier III (majority), some Tier II/IV","T-Systems, Equinix, Digital Realty, 3data, NTT, IXcellerate, Vantage","Google, Microsoft region presence",89.0,480.0,"Air cooling, precision AC, economizers, microgrids"
Iceland,3,0,3,64583.0,200.0,100.0,Tier III–IV (HPC/colo),"atNorth, Verne Global, Borealis","Data centers for hyperscale HPC, no global cloud region",100.0,1200.0,"Ambient free cooling, precision AC, geothermal exchange"
Iran,20,0,20,50000.0,50.0,25.0,"Tier III (most), some Tier II–IV","Asiatech, Mobinnet, Pars Online, Shatel",No global hyperscale presence,85.0,710.0,"Air cooling, precision AC, generators, modular setups"
Iraq,4,0,4,20000.0,12.0,79.0,Tier II–III (colos & ISP-grade),"AsiaCell DC, FastIraq, iQ Group, Linkdata (Erbil)",No global hyperscale presence,79.0,710.0,"Air cooling, precision AC, generators, modular setups"
Ireland,80,0,37,150000.0,710.0,69.0,"Tier III (majority), some Tier II/IV","Equinix, Digital Realty, Amazon AWS, Google, Microsoft, Vantage","Data centre regions present (AWS, Google, MS in Dublin)",89.0,410.0,"Air cooling, precision AC, economizers, on-site batteries/gas gen"
Israel,31,0,31,500000.0,250.0,12.0,Tier III–IV (majority),"EdgeConnex, Bezeq International, MedOne, Global Technical, Compass, Serverfarm, SDS","Data centers (HPC/colocation) & AWS, Google, Microsoft regions",89.0,1300.0,"Air cooling, precision AC, economy chillers, N+1 redundancy, microgrids"
Italy,168,12,52,3940000.0,513.0,41.0,"Tier III (majority), growing Tier IV","Aruba, Telecom Italia, Equinix, Digital Realty, Data4, CyrusOne, Vantage, Eni, CloudHQ","AWS, Google, Microsoft, Oracle, CyrusOne hyperscale regions present",61.0,3000.0,"Air cooling, precision AC, economizers, microgrids, closed‑loop & liquid cooling"
Jamaica,2,0,2,13000.0,3.0,46.0,Tier II (govt & ISP premises),"eGov (government), Digicel, Flow",No hyperscale presence,46.0,500.0,"Air cooling, small precision AC, seawater cooling pilot"
Jordan,4,0,4,30000.0,15.0,92.0,Tier II–III (colos & ISP-grade),"Zain, Orange Jordan, Umniah Broadband DCs",No global hyperscale presence,92.0,700.0,"Air cooling, precision AC, generators, modular racks"
Kazakhstan,6,0,6,40000.0,15.0,93.0,Tier II–III (colos & ISP-grade),"Kazakhtelecom, IPNet (Kar-Tel), Tele2-KZ Altel, Kcell",No global hyperscale presence,93.0,700.0,"Air cooling, precision AC, generators, modular racks"
Kenya,14,0,11,112000.0,20.0,41.0,Tier III (majority),"Africa Data Centres, Digital Realty/Icolo, Safaricom, IXAfrica, Airtel Africa, MTN, PAIX",No hyperscale global cloud region,41.0,1200.0,"Air cooling, precision AC, adiabatic/liquid cooling pilots, modular setups"
Kiribati,0,0,0,0.0,0.0,60.0,Tier I (ISP/satellite premises),ATHKL (Coconut Wireless),No global hyperscale presence,60.0,500.0,"Satellite (GEO, HTS), early Starlink LEO"
"Korea, North",0,0,0,0.0,0.0,1.0,Tier I (intranet/ISP premises),"Koryolink, Mirae (Kwangmyong intranet)",No global hyperscale presence,20.0,500.0,"Satellite and intranet Wi‑Fi (Mirae), 3G/4G intranet"
"Korea, South",35,6,35,2898200.0,710.0,20.0,"Tier III (majority), some Tier II/IV","Samsung SDS, LG CNS, KT Cloud, SK Broadband, Naver Cloud, Equinix, Digital Realty, AWS, Google, Microsoft","Yes (AWS, Google, Microsoft regions + SK‑AWS Ulsan AI Zone)",93.0,860.0,"Air cooling, precision & liquid cooling, economizers, on-site batteries/microgrids"
Kuwait,35,6,35,2898200.0,710.0,20.0,"Tier III (majority), some Tier II/IV","Samsung SDS, LG CNS, KT Cloud, SK Broadband, Naver Cloud, Equinix, Digital Realty, AWS, Google, Microsoft","Yes (AWS, Google, Microsoft regions + SK‑AWS Ulsan AI Zone)",93.0,860.0,"Air cooling, precision & liquid cooling, economizers, on-site batteries/microgrids"
Kyrgyzstan,1,0,1,10000.0,2.0,88.5,Tier III (Datatime),"Datatime + local ISP racks (Nurtelcom, Alfa, Bitel)",No global hyperscale presence,88.5,800.0,"Air cooling, precision AC, generators, modular racks"
Laos,3,0,2,20000.0,5.0,79.0,Tier II–III (government & telco),"Global DMS/National, LaoDC, Unitel/Lao Telecom",No global hyperscale presence,79.0,1000.0,"Air cooling, precision AC, modular setups, satellite fallback"
Latvia,25,0,9,270000.0,120.0,42.0,"Tier III (majority), some Tier II/IV","DEAC/DLC, Tet, Telenet, SigmaNet, VERnet, Bite One",No global hyperscale presence,89.0,650.0,"Air cooling, precision AC, liquid‑cooling pilots (DEAC), economizers"
Lebanon,4,0,3,0.0,0.0,92.0,Tier I–II (ISP/intranet premises),"Ogero, Alfa, Touch, Berytech SCAL, Advanced IX, Dot SARL",No global hyperscale presence,92.0,800.0,"Air cooling, satellite fallback, basic 3G/4G rigs"
Lesotho,2,0,2,3000.0,1.0,47.0,Tier II (Vodacom Maseru colos),Vodacom Maseru West & Lekokoaneng,Data centers by Vodacom; no global hyperscale region,47.0,8.0,"Air cooling, basic precision AC, backup generators, modular prefab"
Liberia,0,0,0,0.0,0.0,32.0,Tier I (ISP/satellite premises),"Lonestar, Orange Liberia, PowerNet, Libtelco",No global hyperscale presence,32.4,600.0,"Air cooling, satellite fallback, CDMA/4G cell, micro-POP hubs"
Libya,6,0,6,30000.0,15.0,88.0,"Tier III (majority), some Tier II–IV","Alaan, Sadeem, Qabas, LTT colocation sites, Libyan Spider",No global hyperscale presence,88.0,700.0,"Air cooling, precision AC, generators, modular setups"
